epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,49,,0.125,,2.281186103820801
0,78,0.14000000059604645,,2.2901382446289062,
1,99,,0.15625,,2.2575182914733887
1,149,,0.25,,2.225381374359131
1,157,0.19599999487400055,,2.2446253299713135,
2,199,,0.15625,,2.2246391773223877
2,236,0.2451999932527542,,2.1939775943756104,
3,249,,0.15625,,2.1723177433013916
3,299,,0.21875,,2.1021575927734375
3,315,0.2476000040769577,,2.1351613998413086,
4,349,,0.125,,2.106562376022339
4,394,0.2759999930858612,,2.0739896297454834,
5,399,,0.28125,,2.124488115310669
5,449,,0.1875,,2.236284017562866
5,473,0.3068000078201294,,2.0129523277282715,
6,499,,0.4375,,1.8577800989151
6,549,,0.3125,,1.9426438808441162
6,552,0.31439998745918274,,1.9642728567123413,
7,599,,0.28125,,1.8502423763275146
7,631,0.3328000009059906,,1.9213632345199585,
8,649,,0.1875,,2.021359920501709
8,699,,0.375,,1.9418096542358398
8,710,0.3467999994754791,,1.8744324445724487,
9,749,,0.40625,,1.7866791486740112
9,789,0.36160001158714294,,1.8425482511520386,
10,799,,0.5625,,1.5562756061553955
10,849,,0.46875,,1.9073339700698853
10,868,0.3707999885082245,,1.813714861869812,
11,899,,0.375,,1.8128409385681152
11,947,0.38600000739097595,,1.7796682119369507,
12,949,,0.375,,1.8141196966171265
12,999,,0.46875,,1.5539685487747192
12,1026,0.3912000060081482,,1.7529312372207642,
13,1049,,0.3125,,1.7784150838851929
13,1099,,0.4375,,1.7653590440750122
13,1105,0.4000000059604645,,1.7262473106384277,
14,1149,,0.53125,,1.5859359502792358
14,1184,0.3968000113964081,,1.705167531967163,
15,1199,,0.46875,,1.6688852310180664
15,1249,,0.28125,,2.068727970123291
15,1263,0.41519999504089355,,1.678613305091858,
16,1299,,0.3125,,1.7967662811279297
16,1342,0.42480000853538513,,1.6581146717071533,
17,1349,,0.5,,1.4433609247207642
17,1399,,0.5625,,1.5484118461608887
17,1421,0.44040000438690186,,1.6308687925338745,
18,1449,,0.21875,,1.8662233352661133
18,1499,,0.3125,,1.917353630065918
18,1500,0.44600000977516174,,1.6036314964294434,
19,1549,,0.5,,1.5984333753585815
19,1579,0.44839999079704285,,1.5824178457260132,
20,1599,,0.53125,,1.4529024362564087
20,1649,,0.40625,,1.4460926055908203
20,1658,0.4675999879837036,,1.552122712135315,
21,1699,,0.46875,,1.7529168128967285
21,1737,0.4668000042438507,,1.5394212007522583,
22,1749,,0.40625,,1.5092523097991943
22,1799,,0.53125,,1.6100335121154785
22,1816,0.47920000553131104,,1.5184416770935059,
23,1849,,0.53125,,1.3019284009933472
23,1895,0.4927999973297119,,1.4878391027450562,
24,1899,,0.5625,,1.3866084814071655
24,1949,,0.46875,,1.546633243560791
24,1974,0.4991999864578247,,1.4616732597351074,
25,1999,,0.53125,,1.69482421875
25,2049,,0.5625,,1.4309110641479492
25,2053,0.5088000297546387,,1.4507497549057007,
26,2099,,0.5,,1.4319944381713867
26,2132,0.5144000053405762,,1.4271551370620728,
27,2149,,0.40625,,1.5349221229553223
27,2199,,0.6875,,1.1124752759933472
27,2211,0.5288000106811523,,1.396864652633667,
28,2249,,0.59375,,1.1355112791061401
28,2290,0.545199990272522,,1.3664644956588745,
29,2299,,0.53125,,1.210919976234436
29,2349,,0.625,,1.1309951543807983
29,2369,0.5424000024795532,,1.34489905834198,
30,2399,,0.46875,,1.2955933809280396
30,2448,0.5468000173568726,,1.3270840644836426,
31,2449,,0.46875,,1.2312229871749878
31,2499,,0.78125,,1.0528438091278076
31,2527,0.557200014591217,,1.301768183708191,
32,2549,,0.625,,0.997105062007904
32,2599,,0.53125,,1.2404099702835083
32,2606,0.5527999997138977,,1.2854115962982178,
33,2649,,0.53125,,1.2626651525497437
33,2685,0.5820000171661377,,1.25047767162323,
34,2699,,0.53125,,1.4759902954101562
34,2749,,0.59375,,1.305904746055603
34,2764,0.5843999981880188,,1.2367243766784668,
35,2799,,0.65625,,1.2119001150131226
35,2843,0.5888000130653381,,1.2069333791732788,
36,2849,,0.5625,,1.2435729503631592
36,2899,,0.5,,1.1578075885772705
36,2922,0.6187999844551086,,1.184149146080017,
37,2949,,0.75,,1.045342206954956
37,2999,,0.625,,1.2360626459121704
37,3001,0.6244000196456909,,1.1521776914596558,
38,3049,,0.65625,,1.3475614786148071
38,3080,0.6227999925613403,,1.134294867515564,
39,3099,,0.59375,,1.0779063701629639
39,3149,,0.65625,,0.8718076944351196
39,3159,0.6484000086784363,,1.0978893041610718,
40,3199,,0.6875,,0.9996362924575806
40,3238,0.6528000235557556,,1.0741201639175415,
41,3249,,0.6875,,1.077003836631775
41,3299,,0.625,,1.1182899475097656
41,3317,0.6484000086784363,,1.062928557395935,
42,3349,,0.71875,,0.8630009293556213
42,3396,0.6651999950408936,,1.0427424907684326,
43,3399,,0.75,,0.9038005471229553
43,3449,,0.6875,,0.9225188493728638
43,3475,0.6672000288963318,,1.0207058191299438,
44,3499,,0.59375,,1.2130687236785889
44,3549,,0.6875,,0.8917883038520813
44,3554,0.6944000124931335,,0.9806289076805115,
45,3599,,0.78125,,0.7437953948974609
45,3633,0.6952000260353088,,0.9608836770057678,
46,3649,,0.8125,,0.8356646299362183
46,3699,,0.5625,,1.098165512084961
46,3712,0.7148000001907349,,0.9360871315002441,
47,3749,,0.875,,0.7580190300941467
